"date","food","income","housing","childcare","gas","apparel","insurance_home","insurance_car","car_new","car_used","cpi"
"1994-03-01",0.426804006950467,0.433215130023641,0.356688847187234,0.26704470526177,0.325443786982249,1.0279655808236,0.345887782246547,0.415968517285621,0.768504786301739,0.720510829234619,0.461004243370126
"1994-04-01",0.427400101932242,0.433215130023641,0.356921672805502,0.267158389682911,0.331360946745562,1.02566072526122,0.346122920099875,0.41625129669914,0.769066558806346,0.729679005953922,0.46131763850498
"1994-05-01",0.427698149423129,0.433215130023641,0.356921672805502,0.267613127367478,0.336343818125195,1.02950215119852,0.346828333659861,0.417099634939695,0.770751876320165,0.743700923289326,0.462257823909542
"1994-06-01",0.427698149423129,0.433215130023641,0.357154498423771,0.268181549473186,0.344440984117098,1.03564843269822,0.347768885073176,0.418230752593769,0.771875421329378,0.759880058676331,0.463511404448957
"1994-07-01",0.429784481859339,0.433215130023641,0.358318626515113,0.269204709263461,0.353783867953908,1.03103872157345,0.34894457433982,0.419644649661361,0.771875421329378,0.769048235395634,0.465078380123227
"1994-08-01",0.431572766804663,0.433215130023641,0.359715580224723,0.273297348424561,0.368109623170352,1.02335586969883,0.350355401459792,0.421341326142472,0.771313648824772,0.776598498576236,0.466958750932351
"1994-09-01",0.432168861786437,0.433215130023641,0.360879708316065,0.280800520219911,0.366552475864217,1.02642901044868,0.351060815019778,0.422189664383027,0.772437193833985,0.784148761756838,0.467898936336912
"1994-10-01",0.432168861786437,0.433215130023641,0.361345359552602,0.281368942325619,0.358766739333541,1.02181929932391,0.351295952873107,0.422472443796545,0.777493146375444,0.796552765553542,0.468212331471766
"1994-11-01",0.433063004259099,0.433215130023641,0.362276662025676,0.281709995589044,0.362192463407038,1.0179778733866,0.352236504286422,0.423603561450619,0.783110871421509,0.809496073863146,0.469465912011182
"1994-12-01",0.437533716622407,0.433215130023641,0.362509487643944,0.281709995589044,0.355963874182498,1.01490473263675,0.352941917846408,0.424451899691174,0.787043278953755,0.817046337043748,0.470406097415744
"1995-01-01",0.439620049058617,0.441489361702128,0.363440790117018,0.282278417694753,0.351603861725319,1.01567301782422,0.353882469259723,0.425583017345248,0.789852141476788,0.82190007765985,0.471659677955159
"1995-02-01",0.43932200156773,0.441489361702128,0.364139266971823,0.283415261906169,0.348800996574276,1.01336816226183,0.354823020673038,0.426714134999322,0.790413913981394,0.826753818275951,0.472913258494575
"1995-03-01",0.43932200156773,0.441489361702128,0.364837743826629,0.283415261906169,0.347243849268141,1.01567301782422,0.355528434233024,0.427562473239877,0.790413913981394,0.834843385969454,0.473853443899137
"1995-04-01",0.442302476476602,0.441489361702128,0.365536220681434,0.283187893063886,0.355029585798817,1.01336816226183,0.356939261352996,0.429259149720988,0.79266100399982,0.845090171714557,0.47573381470826
"1995-05-01",0.442004428985715,0.441489361702128,0.366001871917971,0.283301577485028,0.373715353472439,1.01106330669945,0.357644674912983,0.430107487961543,0.79266100399982,0.850483216843558,0.476674000112822
